No,Nama,LLDikti
2364,Sekolah Tinggi Ilmu Kesehatan Mitra Husada Medan,
2365,Sekolah Tinggi Ilmu Kesehatan Mitra Keluarga,
2366,Sekolah Tinggi Ilmu Kesehatan Mitra Keluarga Jakarta,3.0
2367,Sekolah Tinggi Ilmu Kesehatan Mitra Kencana Tasikmalaya,4.0
2368,Sekolah Tinggi Ilmu Kesehatan Mitra Lampung,
2369,Sekolah Tinggi Ilmu Kesehatan Mitra Ria Husada,
2370,Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Aceh,13.0
2371,Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Bojonegoro,
2372,Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Ciamis,4.0
2373,Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Cirebon,
2374,Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Gombong,
2375,Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Kendal,
2376,Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Klaten,6.0
2377,Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Kudus,6.0
2378,Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Lamongan,
2379,Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Lhokseumawe,13.0
2380,Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Manado,
2381,Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Palembang,
2382,Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Pekajangan,
2383,Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Pringsewu,2.0
2384,Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Samarinda,11.0
2385,Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Sidrap,9.0
2386,Sekolah Tinggi Ilmu Kesehatan Murni Teguh,
2387,Sekolah Tinggi Ilmu Kesehatan Mutiara Mahakam Samarinda,11.0
2388,Sekolah Tinggi Ilmu Kesehatan Nahdlatul Ulama Tuban,7.0
2389,Sekolah Tinggi Ilmu Kesehatan Nan Tongga,10.0
2390,Sekolah Tinggi Ilmu Kesehatan Nani Hasanuddin Makassar,
2391,Sekolah Tinggi Ilmu Kesehatan Nasional,
2392,Sekolah Tinggi Ilmu Kesehatan Nauli Husada,
2393,Sekolah Tinggi Ilmu Kesehatan Nauli Husada Sibolga,
2394,Sekolah Tinggi Ilmu Kesehatan Nazhatut Thullab Sampang,7.0
2395,Sekolah Tinggi Ilmu Kesehatan Ngesti Waluyo,
2396,Sekolah Tinggi Ilmu Kesehatan Ngudia Husada Madura,
2397,Sekolah Tinggi Ilmu Kesehatan Notokusumo Yogyakarta,5.0
2398,Sekolah Tinggi Ilmu Kesehatan Nurliana Medan,
2399,Sekolah Tinggi Ilmu Kesehatan Nurul Hasanah Kutacane,13.0
2400,Sekolah Tinggi Ilmu Kesehatan Nurul Jadid,7.0
2401,Sekolah Tinggi Ilmu Kesehatan Nusantara,15.0
2402,Sekolah Tinggi Ilmu Kesehatan Nusantara Jaya,
2403,Sekolah Tinggi Ilmu Kesehatan Paguwarmas Maos Cilacap,
2404,Sekolah Tinggi Ilmu Kesehatan Pamenang,
2405,Sekolah Tinggi Ilmu Kesehatan Panakkukang,9.0
2406,Sekolah Tinggi Ilmu Kesehatan Panca Atma Jaya,
2407,Sekolah Tinggi Ilmu Kesehatan Panca Bhakti,
2408,Sekolah Tinggi Ilmu Kesehatan Panrita Husada Bulukumba,9.0
2409,Sekolah Tinggi Ilmu Kesehatan Panti Kosala,
2410,Sekolah Tinggi Ilmu Kesehatan Panti Rapih,
2411,Sekolah Tinggi Ilmu Kesehatan Panti Rapih Yogyakarta,
2412,Sekolah Tinggi Ilmu Kesehatan Panti Waluya Malang,
2413,Sekolah Tinggi Ilmu Kesehatan Panti Wilasa,6.0
2414,Sekolah Tinggi Ilmu Kesehatan Papua,14.0
2415,Sekolah Tinggi Ilmu Kesehatan Pasapua Ambon,
2416,Sekolah Tinggi Ilmu Kesehatan Patria Husada,7.0
2417,Sekolah Tinggi Ilmu Kesehatan Payung Negeri,10.0
2418,Sekolah Tinggi Ilmu Kesehatan Payung Negeri Aceh Darussalam,
2419,Sekolah Tinggi Ilmu Kesehatan Pekanbaru Medical Center,10.0
2420,Sekolah Tinggi Ilmu Kesehatan Pelamonia Kesdam Vii/Wirabuana,
2421,Sekolah Tinggi Ilmu Kesehatan Pembina Palembang,
2422,Sekolah Tinggi Ilmu Kesehatan Pemkab Jombang,
2423,Sekolah Tinggi Ilmu Kesehatan Perintis Padang,
2424,Sekolah Tinggi Ilmu Kesehatan Persada Husada Indonesia,3.0
2425,Sekolah Tinggi Ilmu Kesehatan Pertamedika,
2426,Sekolah Tinggi Ilmu Kesehatan Piala Sakti Pariaman,10.0
2427,Sekolah Tinggi Ilmu Kesehatan Pku Muhammadiyah Surakarta,
2428,Sekolah Tinggi Ilmu Kesehatan Prima Nusantara,10.0
2429,Sekolah Tinggi Ilmu Kesehatan Puangrimanggalatung,
2430,Sekolah Tinggi Ilmu Kesehatan Purna Bhakti Husada Batusangkar,
2431,Sekolah Tinggi Ilmu Kesehatan Putra Abadi Langkat,1.0
2432,Sekolah Tinggi Ilmu Kesehatan Qamarul Huda,8.0
2433,Sekolah Tinggi Ilmu Kesehatan Raflesia,
2434,Sekolah Tinggi Ilmu Kesehatan Rajawali,
2435,Sekolah Tinggi Ilmu Kesehatan Rajekwesi Bojonegoro,
2436,Sekolah Tinggi Ilmu Kesehatan Ranah Minang,10.0
2437,Sekolah Tinggi Ilmu Kesehatan Respati Tasikmalaya,4.0
2438,Sekolah Tinggi Ilmu Kesehatan Rs Haji Medan,1.0
2439,Sekolah Tinggi Ilmu Kesehatan Rs Husada,3.0
2440,Sekolah Tinggi Ilmu Kesehatan Rspad Gatot Soebroto,
2441,Sekolah Tinggi Ilmu Kesehatan Rumah Sakit Anwar Medika,
2442,Sekolah Tinggi Ilmu Kesehatan Sakinah Husada Tanjung Balai,
2443,Sekolah Tinggi Ilmu Kesehatan Salewangan Maros,9.0
2444,Sekolah Tinggi Ilmu Kesehatan Salsabila Serang,
2445,Sekolah Tinggi Ilmu Kesehatan Samarinda,
2446,Sekolah Tinggi Ilmu Kesehatan Santa Elisabeth Medan,1.0
2447,Sekolah Tinggi Ilmu Kesehatan Santo Borromeus,4.0
2448,Sekolah Tinggi Ilmu Kesehatan Santu Paulus Ruteng,
2449,Sekolah Tinggi Ilmu Kesehatan Sapta Bakti,2.0
2450,Sekolah Tinggi Ilmu Kesehatan Sari Mulia,11.0
2451,Sekolah Tinggi Ilmu Kesehatan Satria Bhakti Nganjuk,7.0
2452,Sekolah Tinggi Ilmu Kesehatan Sebelas April Sumedang,4.0
2453,Sekolah Tinggi Ilmu Kesehatan Sehat Medan,1.0
2454,Sekolah Tinggi Ilmu Kesehatan Senior Medan,1.0
2455,Sekolah Tinggi Ilmu Kesehatan Serulingmas,
2456,Sekolah Tinggi Ilmu Kesehatan Sint Carolus,3.0
2457,Sekolah Tinggi Ilmu Kesehatan Sismadi,
2458,Sekolah Tinggi Ilmu Kesehatan Siti Hajar,1.0
2459,Sekolah Tinggi Ilmu Kesehatan Siti Khadijah,
2460,Sekolah Tinggi Ilmu Kesehatan St. Fatimah,
2461,Sekolah Tinggi Ilmu Kesehatan Stella Maris,
2462,Sekolah Tinggi Ilmu Kesehatan Suaka Insan,
2463,Sekolah Tinggi Ilmu Kesehatan Sukabumi,
2464,Sekolah Tinggi Ilmu Kesehatan Sumatera Utara,
2465,Sekolah Tinggi Ilmu Kesehatan Surabaya,7.0
2466,Sekolah Tinggi Ilmu Kesehatan Surya Global,
2467,Sekolah Tinggi Ilmu Kesehatan Surya Mitra Husada Kediri,
2468,Sekolah Tinggi Ilmu Kesehatan Syedza Saintika,
2469,Sekolah Tinggi Ilmu Kesehatan Syedza Saintika Padang,
2470,Sekolah Tinggi Ilmu Kesehatan Syuhada Padangsidimpuan,
2471,Sekolah Tinggi Ilmu Kesehatan Tamalatea Makassar,
2472,Sekolah Tinggi Ilmu Kesehatan Tana Toraja,9.0
2473,Sekolah Tinggi Ilmu Kesehatan Tanawali Persada,
2474,Sekolah Tinggi Ilmu Kesehatan Tarumanagara,
2475,Sekolah Tinggi Ilmu Kesehatan Telogorejo Semarang,6.0
2476,Sekolah Tinggi Ilmu Kesehatan Tengku Maharatu,10.0
2477,Sekolah Tinggi Ilmu Kesehatan Tri Mandiri Sakti Bengkulu,2.0
2478,Sekolah Tinggi Ilmu Kesehatan Tujuh Belas,
2479,Sekolah Tinggi Ilmu Kesehatan Widya Cipta Husada,
2480,Sekolah Tinggi Ilmu Kesehatan Widya Dharma Husada Tangerang,4.0
2481,Sekolah Tinggi Ilmu Kesehatan Widya Husada,6.0
2482,Sekolah Tinggi Ilmu Kesehatan Widya Husada Medan,
2483,Sekolah Tinggi Ilmu Kesehatan Widya Nusantara,
2484,Sekolah Tinggi Ilmu Kesehatan Widya Nusantara Palu,
2485,Sekolah Tinggi Ilmu Kesehatan Widyagama Husada,
2486,Sekolah Tinggi Ilmu Kesehatan Widyagama Husada Malang,
2487,Sekolah Tinggi Ilmu Kesehatan Wijaya Husada Bogor,
2488,Sekolah Tinggi Ilmu Kesehatan William Booth,7.0
2489,Sekolah Tinggi Ilmu Kesehatan Wira Husada,5.0
2490,Sekolah Tinggi Ilmu Kesehatan Wira Medika Bali,
2491,Sekolah Tinggi Ilmu Kesehatan Wiyata Husada Samarinda,11.0
2492,Sekolah Tinggi Ilmu Kesehatan Yahya Bima,8.0
2493,Sekolah Tinggi Ilmu Kesehatan Yapika Makassar,9.0
2494,Sekolah Tinggi Ilmu Kesehatan Yarsi Mataram,8.0
2495,Sekolah Tinggi Ilmu Kesehatan Yarsi Pontianak,11.0
2496,Sekolah Tinggi Ilmu Kesehatan Yarsi Sumatera Barat,10.0
2497,Sekolah Tinggi Ilmu Kesehatan Yatsi,
2498,Sekolah Tinggi Ilmu Kesehatan Yayasan Rs Dr. Soetomo,7.0
2499,Sekolah Tinggi Ilmu Kesehatan Yogyakarta,5.0
2500,Sekolah Tinggi Ilmu Kesehatan Ypak Padang,
2501,Sekolah Tinggi Ilmu Kesehatan Ypib,4.0
2502,Sekolah Tinggi Ilmu Kesejahteraan Sosial Manado,16.0
2503,Sekolah Tinggi Ilmu Komputer Al-Khairiyah,4.0
2504,Sekolah Tinggi Ilmu Komputer Ambon,12.0
2505,Sekolah Tinggi Ilmu Komputer Binaniaga,4.0
2506,Sekolah Tinggi Ilmu Komputer Dinamika Bangsa,10.0
2507,Sekolah Tinggi Ilmu Komputer El Rahma,4.0
2508,Sekolah Tinggi Ilmu Komputer Medan,1.0
2509,Sekolah Tinggi Ilmu Komputer Muhammadiyah Batam,10.0
2510,Sekolah Tinggi Ilmu Komputer Pelita Indonesia,10.0
2511,Sekolah Tinggi Ilmu Komputer Pgri Banyuwangi,7.0
2512,Sekolah Tinggi Ilmu Komputer POLTEK Cirebon,4.0
2513,Sekolah Tinggi Ilmu Komputer Rajawali,16.0
2514,Sekolah Tinggi Ilmu Komputer Yos Sudarso,6.0
2515,Sekolah Tinggi Ilmu Komunikasi,6.0
2516,Sekolah Tinggi Ilmu Komunikasi Aws,7.0
2517,Sekolah Tinggi Ilmu Komunikasi Bandung,4.0
2518,Sekolah Tinggi Ilmu Komunikasi Dan Sekretari Tarakanita,3.0
2519,Sekolah Tinggi Ilmu Komunikasi Indonesia Maju,3.0
2520,Sekolah Tinggi Ilmu Komunikasi Inter Studi,3.0
2521,Sekolah Tinggi Ilmu Komunikasi Itkp,3.0
2522,Sekolah Tinggi Ilmu Komunikasi LSPR,3.0
2523,Sekolah Tinggi Ilmu Komunikasi Mahakam,11.0
2524,Sekolah Tinggi Ilmu Komunikasi Pembangunan,1.0
2525,Sekolah Tinggi Ilmu Komunikasi Profesi Indonesia,3.0
2526,Sekolah Tinggi Ilmu Komunikasi Yogyakarta,5.0
2527,Sekolah Tinggi Ilmu Manajemen,13.0
2528,Sekolah Tinggi Ilmu Manajemen Budi Bakti,4.0
2529,Sekolah Tinggi Ilmu Manajemen Dan Bisnis Gorontalo,16.0
2530,Sekolah Tinggi Ilmu Manajemen Dan Ilmu Komputer Esq,3.0
2531,Sekolah Tinggi Ilmu Manajemen Handayani,8.0
2532,Sekolah Tinggi Ilmu Manajemen Indonesia Banjarmasin,11.0
2533,Sekolah Tinggi Ilmu Manajemen Indonesia Yapmi,9.0
2534,Sekolah Tinggi Ilmu Manajemen Informatika &Amp; Teknik Komputer Agamua Wamena Papua,14.0
2535,Sekolah Tinggi Ilmu Manajemen Informatika Dan Komputer Sepuluh Nopember Jayapura,14.0
2536,Sekolah Tinggi Ilmu Manajemen Lasharan Jaya Makassar,9.0
2537,Sekolah Tinggi Ilmu Manajemen Lpi Makassar,9.0
2538,Sekolah Tinggi Ilmu Manajemen Nitro Makassar,9.0
2539,Sekolah Tinggi Ilmu Manajemen Pase,13.0
2540,Sekolah Tinggi Ilmu Manajemen Prima Graha,4.0
2541,Sekolah Tinggi Ilmu Manajemen Publik Makassar,9.0
2542,Sekolah Tinggi Ilmu Manajemen Saint Mary,3.0
2543,Sekolah Tinggi Ilmu Manajemen Shanti Bhuana,11.0
2544,Sekolah Tinggi Ilmu Manajemen Sukma,1.0
2545,Sekolah Tinggi Ilmu Manajemen Ykpn,5.0
2546,Sekolah Tinggi Ilmu Maritim Ami,3.0
2547,Sekolah Tinggi Ilmu Maritim Mutiara Jaya,2.0
2548,Sekolah Tinggi Ilmu Maritim Mutiara Jaya Lampung,2.0
2549,Sekolah Tinggi Ilmu Pariwisata Manado,16.0
2550,Sekolah Tinggi Ilmu Pelayaran Jakarta,
2551,Sekolah Tinggi Ilmu Pemerintahan Abdi Negara,3.0
2552,Sekolah Tinggi Ilmu Pendidikan Bunga Bangsa,11.0
2553,Sekolah Tinggi Ilmu Pendidikan Islam Maghfirah Bina Umat,
2554,Sekolah Tinggi Ilmu Perbankan Syariah Al-Ma'Soem Bandung,
2555,Sekolah Tinggi Ilmu Perikanan Malang,7.0
2556,Sekolah Tinggi Ilmu Pertanian Agrobisnis Perkebunan,1.0
2557,Sekolah Tinggi Ilmu Pertanian Amuntai,11.0
2558,Sekolah Tinggi Ilmu Pertanian Belitang,2.0
2559,Sekolah Tinggi Ilmu Pertanian Berau,11.0
2560,Sekolah Tinggi Ilmu Pertanian Dharma Wacana,2.0
2561,Sekolah Tinggi Ilmu Pertanian Farming,6.0
2562,Sekolah Tinggi Ilmu Pertanian Kendari,9.0
2563,Sekolah Tinggi Ilmu Pertanian Mujahidin Toli-Toli,16.0
2564,Sekolah Tinggi Ilmu Pertanian Petra Baliem Wamena,14.0
2565,Sekolah Tinggi Ilmu Pertanian Puangrimanggalatung,9.0
2566,Sekolah Tinggi Ilmu Pertanian Rejang Lebong,2.0
2567,Sekolah Tinggi Ilmu Pertanian Sriwigama,2.0
2568,Sekolah Tinggi Ilmu Pertanian Surya Dharma,2.0
2569,Sekolah Tinggi Ilmu Pertanian Wuna Raha,9.0
2570,Sekolah Tinggi Ilmu Pertanian Yapi Bone,9.0
2571,Sekolah Tinggi Ilmu Pertanian Yashafa,13.0
2572,Sekolah Tinggi Ilmu Psikologi Harapan Bangsa,13.0
2573,Sekolah Tinggi Ilmu Qur`An (Stiq) Amuntai,
2574,Sekolah Tinggi Ilmu Shuffah Al-Qur'An Abdullah Bin Mas'Ud Online Lampung Selatan,
2575,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik 17-8-1945 Makassar,9.0
2576,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Al-Washliyah,13.0
2577,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Amal Ilmiah Yapis Wamena,14.0
2578,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Banten Raya,4.0
2579,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Bina Putera Banjar,4.0
2580,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Candradimuka,2.0
2581,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Dharma Wacana,2.0
2582,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Imam Bonjol,10.0
2583,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Kartika Bangsa,5.0
2584,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Muhammadiyah Sinjai,9.0
2585,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Panca Bhakti Palu,16.0
2586,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Persada Bunda,10.0
2587,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Raja Haji,10.0
2588,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Widuri,3.0
2589,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Widyapuri Mandiri,4.0
2590,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Yaleka Maro,14.0
2591,Sekolah Tinggi Ilmu Sosial Dan Politik Fajar Timur,15.0
2592,Sekolah Tinggi Ilmu Sosial Dan Politik Mbojo,8.0
2593,Sekolah Tinggi Ilmu Sosial Dan Politik Veteran Palopo,9.0
2594,Sekolah Tinggi Ilmu Sosial Politik Wira Bhakti,8.0
2595,Sekolah Tinggi Ilmu Syari`Ah Al-Aziziyah Sabang,
2596,Sekolah Tinggi Ilmu Syari`Ah Al-Ittihad Bima,
2597,Sekolah Tinggi Ilmu Syari`Ah Darul Ulum Lampung Timur,
2598,Sekolah Tinggi Ilmu Syari`Ah Dayah Amal,
2599,Sekolah Tinggi Ilmu Syari`Ah Hidayatullah,
2600,Sekolah Tinggi Ilmu Syari`Ah Miftahul Ulum Lumajang,
2601,Sekolah Tinggi Ilmu Syari`Ah Nahdlatul Ulama Cianjur,
2602,Sekolah Tinggi Ilmu Syari`Ah Syarif Abdurrahman Pontianak,
2603,Sekolah Tinggi Ilmu Syari`Ah Wal Aqidah Ash-Shofa Manonjaya,
2604,Sekolah Tinggi Ilmu Syariah (STIS) Al-Manar,
2605,Sekolah Tinggi Ilmu Syari'Ah (STIS) Muhammadiyah Pringsewu,
2606,Sekolah Tinggi Ilmu Syariah (STIS) Nurud Dhalam,
2607,Sekolah Tinggi Ilmu Syariah (STIS) Ummul Ayman Pidie Jaya,
2608,Sekolah Tinggi Ilmu Syariah Abu Zairi Bondowoso Jawa Timur,
2609,Sekolah Tinggi Ilmu Syariah Al Wafa,
2610,Sekolah Tinggi Ilmu Syariah As Salafiyah Sumber Duko,
2611,Sekolah Tinggi Ilmu Syari'Ah Darul Falah Bondowoso Jawa Timur,
2612,Sekolah Tinggi Ilmu Syari'Ah Darussalam Bermi,
2613,Sekolah Tinggi Ilmu Syariah Darusy Syafa'Ah Lampung Tengah,
2614,Sekolah Tinggi Ilmu Syariah Husnul Khotimah (Stishk) Kuningan,
2615,Sekolah Tinggi Ilmu Syariah Nahdlatul Ulama (Stisnu) Nusantara Tangerang,
2616,Sekolah Tinggi Ilmu Syari'Ah Nahdlatul Ulama Aceh,
2617,Sekolah Tinggi Ilmu Syariah Sayid Mohammad Alawi Al Maliki Bondowoso Jawa Timur,
2618,Sekolah Tinggi Ilmu Syari'Ah Sultan Fatah,
2619,Sekolah Tinggi Ilmu Tarbiyah (Stit) Al-Chaeriyah Mamuju Sulawesi Barat,
2620,Sekolah Tinggi Ilmu Tarbiyah (Stit) Islamiyah Nusa Tenggara Barat,
2621,Sekolah Tinggi Ilmu Tarbiyah (Stit) Mumtaz,
2622,Sekolah Tinggi Ilmu Tarbiyah Ad-Da`Wah Rangkasbitung,
2623,Sekolah Tinggi Ilmu Tarbiyah Agus Salim Metro Lampung,
2624,Sekolah Tinggi Ilmu Tarbiyah Ahlusunah Bukittinggi,
2625,Sekolah Tinggi Ilmu Tarbiyah Al Bukhary Labuhan Batu,
2626,Sekolah Tinggi Ilmu Tarbiyah Al Hikmah Bumi Agung Way Kanan,
2627,Sekolah Tinggi Ilmu Tarbiyah Al Hilal Sigli,
2628,Sekolah Tinggi Ilmu Tarbiyah Al Karimiyah,
2629,Sekolah Tinggi Ilmu Tarbiyah Al- Kifayah Riau,
2630,Sekolah Tinggi Ilmu Tarbiyah Al Mubarok Bandar Mataram,
2631,Sekolah Tinggi Ilmu Tarbiyah Al-Azhar Diniyah,
2632,Sekolah Tinggi Ilmu Tarbiyah Al-Fattah Siman,
2633,Sekolah Tinggi Ilmu Tarbiyah Al-Hikmah Tebing Tinggi,
2634,Sekolah Tinggi Ilmu Tarbiyah Al-Ihsan Baleendah Bandung Jawa Barat,
2635,Sekolah Tinggi Ilmu Tarbiyah Al-Marhalah Al-Ulya Bekasi,
2636,Sekolah Tinggi Ilmu Tarbiyah Al-Multazam,
2637,Sekolah Tinggi Ilmu Tarbiyah Al-Muslihuun,
2638,Sekolah Tinggi Ilmu Tarbiyah Al-Quraniyah Manna,
2639,Sekolah Tinggi Ilmu Tarbiyah Al-Urwatul Wutsqo,
2640,Sekolah Tinggi Ilmu Tarbiyah Aqidah Usymuni,
2641,Sekolah Tinggi Ilmu Tarbiyah Ar-Raudhah,
2642,Sekolah Tinggi Ilmu Tarbiyah Ar-Risalah Inhil Riau,
2643,Sekolah Tinggi Ilmu Tarbiyah Bustanul Arifin,
2644,Sekolah Tinggi Ilmu Tarbiyah Darul Fatah,
2645,Sekolah Tinggi Ilmu Tarbiyah Darul Fattah,
2646,Sekolah Tinggi Ilmu Tarbiyah Darul Ulum Kotabaru,
2647,Sekolah Tinggi Ilmu Tarbiyah Darul Ulum Sarolangun Jambi,
2648,Sekolah Tinggi Ilmu Tarbiyah Darussalamah Pidie Banda Aceh,
2649,Sekolah Tinggi Ilmu Tarbiyah Ddi Pasangkayu,
2650,Sekolah Tinggi Ilmu Tarbiyah Diniyyah Putri Rakmat Elyunusiyyah Padang Panjang,
2651,Sekolah Tinggi Ilmu Tarbiyah Hidayatullah Batam Kepulauan Riau,
2652,Sekolah Tinggi Ilmu Tarbiyah Ibnu Khaldun Nunukan,
2653,Sekolah Tinggi Ilmu Tarbiyah Ibnu Sina Malang,
2654,Sekolah Tinggi Ilmu Tarbiyah Insida,
2655,Sekolah Tinggi Ilmu Tarbiyah Kabupaten Tebo,
2656,Sekolah Tinggi Ilmu Tarbiyah Kupang,
2657,Sekolah Tinggi Ilmu Tarbiyah Lingga Kepulauan Riau,
2658,Sekolah Tinggi Ilmu Tarbiyah Madani Yogyakarta,
2659,Sekolah Tinggi Ilmu Tarbiyah Makhdum Ibrahim Tuban,
2660,Sekolah Tinggi Ilmu Tarbiyah Makrifatul Ilmi Bengkulu Selatan,
2661,Sekolah Tinggi Ilmu Tarbiyah Mamba'Ul Ulum Jambi,
2662,Sekolah Tinggi Ilmu Tarbiyah Misbahul Ulum Gumawang,
2663,Sekolah Tinggi Ilmu Tarbiyah Muara Enim,
2664,Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Aceh Barat Daya,
2665,Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Paciran,
2666,Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Tanjung Redeb,
2667,Sekolah Tinggi Ilmu Tarbiyah Muslim Asia Afrika Jakarta,
2668,Sekolah Tinggi Ilmu Tarbiyah Nahdlatul Ulama (Stitnu) Al-Farabi Pangandaran,
2669,Sekolah Tinggi Ilmu Tarbiyah Nahdlatul Ulama Sakinah Dharmasraya,
2670,Sekolah Tinggi Ilmu Tarbiyah Nahdlatul Ulama Sumber Agung Oku Timur,
2671,Sekolah Tinggi Ilmu Tarbiyah Nusantara Bekasi,
2672,Sekolah Tinggi Ilmu Tarbiyah Payakumbuh,
2673,Sekolah Tinggi Ilmu Tarbiyah Pgri Pasuruan,
2674,Sekolah Tinggi Ilmu Tarbiyah Qurrota Ayun,
2675,Sekolah Tinggi Ilmu Tarbiyah Raden Santri Gresik,
2676,Sekolah Tinggi Ilmu Tarbiyah Rakeyan Santang Karawang Jawa Barat,
2677,Sekolah Tinggi Ilmu Tarbiyah Sirojul Falah Bogor,
2678,Sekolah Tinggi Ilmu Tarbiyah Syamsuddhuha Aceh Utara Banda Aceh,
2679,Sekolah Tinggi Ilmu Tarbiyah Syekh Muhammad Nafis,
2680,Sekolah Tinggi Ilmu Tarbiyah Togo Ambarsari Bondowoso Jawa Timur,
2681,Sekolah Tinggi Ilmu Tarbiyah Tunas Bangsa Banjarnegara Jawa Tengah,
2682,Sekolah Tinggi Ilmu Tarbiyah Ypi Lahat,
2683,Sekolah Tinggi Ilmu Teknik Bina Putra,4.0
2684,Sekolah Tinggi Ilmu Teknik Prabumulih,2.0
2685,Sekolah Tinggi Ilmu Teknik Serasan,2.0
2686,Sekolah Tinggi Ilmu Teknik Trisula,2.0
2687,Sekolah Tinggi Ilmu Ushuluddin Darul Quran,
2688,Sekolah Tinggi Ilmu Ushuluddin Darussalam,
2689,Sekolah Tinggi Ilmu Ushuluddin Masjid Al Akbar Surabaya Jawa Timur,
2690,Sekolah Tinggi Ilmu Ushuluddin Wadi Mubarak Bogor Jawa Barat,
2691,Sekolah Tinggi Ilmu-Ilmu Sosial (STIS) Tual,12.0
2692,Sekolah Tinggi Informatika Komputer Artha Buana,15.0
2693,Sekolah Tinggi Intelijen Negara,
2694,Sekolah Tinggi Internasional Konservatori Musik Indonesia,3.0
2695,Sekolah Tinggi Islam Al-Mukmin Ngruki Cemani Sukoharjo,
2696,Sekolah Tinggi Islam Blambangan Banyuwangi,
2697,Sekolah Tinggi Islam Kendal,
2698,Sekolah Tinggi Katolik Seminari Santo Yohanes Salib,
2699,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Agama Hindu Singaraja,8.0
2700,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Ahlussunnah,10.0
2701,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Al Hikmah Surabaya,7.0
2702,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Al Islam Tunas Bangsa Bandar Lampung,2.0
2703,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Al Maksum,1.0
2704,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Al-Amin Indramayu,4.0
2705,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Amal Bakti,1.0
2706,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Andi Mattappa,9.0
2707,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan An-Nur Nanggroe Aceh,13.0
2708,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Arrahmaniyah,4.0
2709,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Banten,4.0
2710,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Biak,14.0
2711,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Bima,8.0
2712,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Bina Bangsa Getsempena,13.0
2713,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Bina Insan Mandiri,7.0
2714,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Bina Mutiara,4.0
2715,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Bina Mutiara Sukabumi,4.0
2716,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Budi Daya Binjai,1.0
2717,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Catur Sakti,5.0
2718,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Citra Bakti,15.0
2719,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Citra Bina Nusantara,15.0
2720,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Cokroaminoto Pinrang,9.0
2721,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Darud Da`Wah Wal Irsyad Pinrang,9.0
