No,Nama,LLDikti
152,Akademi Kebidanan Budi Mulia,10.0
153,Akademi Kebidanan Bunda Auni,
154,Akademi Kebidanan Bunda Kotamobagu,
155,Akademi Kebidanan Bunga Bangsa Idi,
156,Akademi Kebidanan Bunga Bangsaku Bangka,
157,Akademi Kebidanan Bunga Husada,
158,Akademi Kebidanan Bunga Kalimantan,
159,Akademi Kebidanan Buton Raya,9.0
160,Akademi Kebidanan Cianjur,4.0
161,Akademi Kebidanan Darmais Padangsidimpuan,
162,Akademi Kebidanan Darmo Medan,1.0
163,Akademi Kebidanan Darul Husada,
164,Akademi Kebidanan Darussalam,13.0
165,Akademi Kebidanan Dehasen Bengkulu,2.0
166,Akademi Kebidanan Deli Husada Delitua Medan,1.0
167,Akademi Kebidanan Delima,
168,Akademi Kebidanan Dharma Husada Kediri,7.0
169,Akademi Kebidanan Dharma Husada Pekanbaru,
170,Akademi Kebidanan Dharma Praja Bondowoso,
171,Akademi Kebidanan Duta Dharma Pati,
172,Akademi Kebidanan Farama Mulya,
173,Akademi Kebidanan Gatra Buana Gurabati Tidore,
174,Akademi Kebidanan Gema Nusantara Bekasi,
175,Akademi Kebidanan Gemilang Husada Kotabumi,2.0
176,Akademi Kebidanan Graha Ananda,
177,Akademi Kebidanan Graha Husada Sampang,
178,Akademi Kebidanan Graha Mandiri Cilacap,6.0
179,Akademi Kebidanan Griya Husada,7.0
180,Akademi Kebidanan Hafsyah Medan,
181,Akademi Kebidanan Haji Amirullah,
182,Akademi Kebidanan Hampar Baiduri,
183,Akademi Kebidanan Hang Jebat,
184,Akademi Kebidanan Harapan Bunda,8.0
185,Akademi Kebidanan Harapan Ibu Langsa,
186,Akademi Kebidanan Harapan Ibu Pekalongan,
187,Akademi Kebidanan Harapan Keluarga,1.0
188,Akademi Kebidanan Harapan Mama Deli Serdang,
189,Akademi Kebidanan Harapan Mulya Ponorogo,7.0
190,Akademi Kebidanan Helvetia Medan,1.0
191,Akademi Kebidanan Heppy Zal Palembang,
192,Akademi Kebidanan Hisarma Medan,
193,Akademi Kebidanan Husada Gemilang,10.0
194,Akademi Kebidanan Ibrahimy,7.0
195,Akademi Kebidanan Ibtisam Aulia,
196,Akademi Kebidanan Ika Bina Labuhan Batu,1.0
197,Akademi Kebidanan Imam Bonjol,10.0
198,Akademi Kebidanan Indragiri,
199,Akademi Kebidanan Internasional Pekanbaru,10.0
200,Akademi Kebidanan Jember,
201,Akademi Kebidanan Kamanre Palopo,9.0
202,Akademi Kebidanan Kartika Mitra Husada,
203,Akademi Kebidanan Kartini Jakarta,
204,Akademi Kebidanan Karya Bunda Husada,4.0
205,Akademi Kebidanan Keluarga Bunda Jambi,
206,Akademi Kebidanan Keris Husada,3.0
207,Akademi Kebidanan Kh Putra,
208,Akademi Kebidanan Kharisma Husada Binjai,
209,Akademi Kebidanan Kholisatur Rahmi,
210,Akademi Kebidanan Kudus,
211,Akademi Kebidanan Kutai Husada,
212,Akademi Kebidanan La Tansa Mashiro,
213,Akademi Kebidanan Laksamana,
214,Akademi Kebidanan Langkat,
215,Akademi Kebidanan Lapatau Bone,9.0
216,Akademi Kebidanan Madina Husada,
